# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.628464043140411377e-01 3.588201105594635010e-01
1.000000000000000000e+03 2.043019421398639679e-02 2.854088507592678070e-02
2.000000000000000000e+03 1.739796996116638184e-02 2.572441101074218750e-02
3.000000000000000000e+03 1.618809998035430908e-02 2.380350790917873383e-02
4.000000000000000000e+03 1.575043611228466034e-02 2.359460666775703430e-02
5.000000000000000000e+03 1.530183199793100357e-02 2.282014675438404083e-02
6.000000000000000000e+03 1.502453815191984177e-02 2.258248813450336456e-02
7.000000000000000000e+03 1.479360461235046387e-02 2.274795994162559509e-02
8.000000000000000000e+03 1.466378383338451385e-02 2.326665259897708893e-02
9.000000000000000000e+03 1.452650595456361771e-02 2.342658676207065582e-02
1.000000000000000000e+04 1.443135924637317657e-02 2.332654036581516266e-02
1.100000000000000000e+04 1.433074381202459335e-02 2.341026626527309418e-02
1.200000000000000000e+04 1.485993806272745132e-02 2.450266480445861816e-02
1.300000000000000000e+04 1.419371925294399261e-02 2.355992235243320465e-02
1.400000000000000000e+04 1.414513029158115387e-02 2.343636378645896912e-02
1.500000000000000000e+04 1.408527325838804245e-02 2.340581454336643219e-02
1.600000000000000000e+04 1.403492130339145660e-02 2.346311137080192566e-02
1.700000000000000000e+04 1.399884093552827835e-02 2.350683324038982391e-02
1.800000000000000000e+04 1.395782176405191422e-02 2.373587153851985931e-02
1.900000000000000000e+04 1.393167022615671158e-02 2.355970256030559540e-02
2.000000000000000000e+04 1.388934440910816193e-02 2.368308976292610168e-02
